abbr,phrase,scope
G,Girl's,start
B,Boy's,start
Nk,Nike,start
U,Unisex,start
W,Women's,start
M,Men's,start
AB,Youth,start
Yth,Youth,start
K,Kids,start
AO,Naomi Osaka,start

DF,Dri-FIT,any
DFADV,Dri-FIT Advantage,any
Adv,ADV,any
SS,Short Sleeve,any
LS,Long Sleeve,any
SL,Sleeveless,any
PRT,Print,any
VCTRY,Victory,any
NVLTY,Novelty,any
NXT,Next,any
HERITGE,Heritage,any
ADVTG,Advantage,any
PLTD,Pleated,any
FLNCY,Flouncy,any
PCKBL,Pickleball,any
NP,Nike Pro,any
TGT,Tight,any
HTHR,Heather,any
AB,Aerobill,any
ESSNTL,Essential,any
SWSH,Swoosh,any
INDY,Indy,any
ARBL,Aerobill,any
ELSTKA,Elastika,any
CRP,Crop,any
MULTI,Multi,any
WVN,Woven,any
FUT,Futura,any
SNBK,Snapback,any
TGHT,Tight,any
RND,Round,any
FLY,Fly,any
RFLTV,Reflective,any
WSH,Wash,any
REVRSBL,Reversible,any
STRTCH,Stretch,any
DBLE,Double,any
RTRO,Retro,any
STRP,Stripe,any
CB,Club,any
HZ,Half Zip,any
FZ,Full Zip,any
TSHRT,T-Shirt,any
SHRT,Short,any
DRSS,Dress,any
PRFMNC,Performance,any
REG,Regular,any
TNS,Tennis Skirt,any
HC,Hard Court,any
THRMFLX,Therma Flex,any
USO,US Open,any
LTWT,Lightweight,any
BKT,Bucket,any
PRM,Premium,any
NKCT,NikeCourt,any
Ny,New York,any
No,Naomi Osaka,start
Skrt,Skirt,any
Flx,Flex,any
Jkt,Jacket,any
Wsh,Wash,any
Bkt,Bucket,any
Plo,Polo,any
Slm,Slam,any
Mr,Mid-Rise,any
L91,Legacy 91,any
Skort,Skirt,any
Aop,Australian Open,any
MSTRS,Masters,any
SHA,Shadow,any
Rg,Roland Garros,any
Hrtge,Heritage,any
Po,Pull-Over,any
HD,Hoodie
Midlyr,Midlayer,any
Nsw,Sportswear,any
Qz,Quarter Zip,any
Ul,Unlined,any
Hr,High-Waisted,any
2n1,2-in-1,any
Us,Unstructured,any
Mtswsh,Metal Swoosh,any
Uv,UV,any
Fthlt,Featherlight,any





