color_code,color_name
010,Black
017,Cannon Blue
063,Light Grey
100,White
101 White
110,Ivory
121,Summit White
281,British Tan
297,Beige
323,Fir
345,Lime Glow
361,Green
368,Olive
371,Olive
379,Teal
392,Washed Teal
402,Blue
410,Midnight Navy
411,Comet Blue
415,Blue Force
423,Blue Tint
436 Light Blue
437,Thunder Blue
441,Celestine Blue
450,Polar
451,Obsidian
464,Light Blue
468,Aluminum
471,Concord
489,Blue
493,Ashen Slate
499,World Indigo
500,Sapphire
507,Purple
527,Dusty Amethyst
536,Oxygen Purple
569,Light Thistle
580,Light Purple
600,Crimson
610,Bordeaux
611 Coral
629,Hot Pink
652,Burgundy
657,Red
662,Brown
675,Playful Pink
695,Regal Pink
696,Light Crimson
698,Elemental Pink
736,Lemon Twist
832,Rugged Orange
893,Campfire Orange







