style_code,color_code
HJ7158,012
HJ3689,010
HJ3689,100
HJ7018,010
HJ7018,100
HJ7158,010
HJ7158,100
HJ3683,222
HJ3683,100
FN8375,010
FN8375,489
HJ3683,010
FN9002,063
HF0326,010
FB5681,010
FB6452,480
FB6452,419
FB6452,077
FB6443,100
FB5681,100
FB5636,100
FB5630,100
FB5630,010
FB5625,410
FB5625,100
FB6452,657
HF0187,100
FB5625,025
FZ0969,320
FZ0969,065
FV0299,489
FZ7945,010
FZ7945,050
FZ5600,100
FZ5698,104
FB5625,070
FB5625,084
FB5625,011
SX5277,010
IB8543,100
IB8543,010
DH1926,010
DH1926,100
DH7709,010
DH7709,068
DM3976,010
DM3978,010
SX7664,964
SX7667,100
SX7670,100
BV3757,063
SX7679,010
CV7575,010
SX7664,100
CZ9840,010
SX7664,010
SX6889,968
SX6889,938
SX6889,937
SX6888,100
SX6888,010
SX5547,010
SX5277,100
SX5277,011
DD3055,435
FB5621,010
DN1967,010
DN1967,392
DX6016,699
FB5061,010
DV9340,010
DX5081,010
DX5075,100
DX5075,010
FB5061,100
FB5062,010
FB5063,010
FB5063,100
FB5064,010
FB5198,010
FB5368,010
FB5368,011
FB5368,100
FB5368,410
FB5368,451
FB5380,010
FB5380,068
FB5380,100
DV9340,084
DN1967,621
DN1967,655
DN1967,836
DN1969,010
DN1969,100
DN1972,657
DQ5838,051
DQ6015,478
DQ5838,010
HM9970,010
DX5382,410
HF0187,063
FZ7945,100
FB5368,073
SX7679,100
FZ5698,010
FB5064,410
FB5368,222
FZ5602,646
FV0299,085
DX5081,407
SX6889,936
FD5577,100
DD3055,010
HF0187,010
FV0299,010
FN9002,646
FZ5602,100
CZ9857,684
BV3757,410
DD1917,010
DN1967,536
BV3757,011
